I, 2023-03-21 15,30,18,460, [080-exec-2],           Controller, 2d6b3cc88626, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd4, Run,3, Overall Query Processing Time,62, Query Planning Time,30, Compile Time,1, Execution time,31,overallNumberOfRequestsIssuedAtCache,37,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 15,30,19,515, [080-exec-3],           Controller, bde7381a6512, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd5, Run,3, Overall Query Processing Time,36, Query Planning Time,14, Compile Time,0, Execution time,22,overallNumberOfRequestsIssuedAtCache,18,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 15,30,21,849, [080-exec-4],           Controller, ca1bdca42663, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd6, Run,3, Overall Query Processing Time,1314, Query Planning Time,21, Compile Time,0, Execution time,1293,overallNumberOfRequestsIssuedAtCache,2485,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2441,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 15,30,23,464, [080-exec-5],           Controller, 4b6969658617, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, cd7, Run,3, Overall Query Processing Time,587, Query Planning Time,23, Compile Time,0, Execution time,564,overallNumberOfRequestsIssuedAtCache,1099,numberOfSPARQLRequestsIssuedAtCache,41,numberOfTPFRequestsIssuedAtCache,1017,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 15,30,25,3, [080-exec-6],           Controller, d2ee91f807c1, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld1, Run,3, Overall Query Processing Time,518, Query Planning Time,34, Compile Time,0, Execution time,484,overallNumberOfRequestsIssuedAtCache,917,numberOfSPARQLRequestsIssuedAtCache,27,numberOfTPFRequestsIssuedAtCache,833,numberOfBRTPFRequestsIssuedAtCache,57
I, 2023-03-21 15,30,26,105, [080-exec-7],           Controller, 1bf46d870feb, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld10, Run,3, Overall Query Processing Time,77, Query Planning Time,18, Compile Time,1, Execution time,58,overallNumberOfRequestsIssuedAtCache,129,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,111,numberOfBRTPFRequestsIssuedAtCache,13
I, 2023-03-21 15,30,28,222, [080-exec-8],           Controller, 5efcc13ded26, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld11, Run,3, Overall Query Processing Time,1094, Query Planning Time,61, Compile Time,1, Execution time,1032,overallNumberOfRequestsIssuedAtCache,2416,numberOfSPARQLRequestsIssuedAtCache,78,numberOfTPFRequestsIssuedAtCache,2262,numberOfBRTPFRequestsIssuedAtCache,76
I, 2023-03-21 15,30,29,339, [080-exec-9],           Controller, 4290d11d486d, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld2, Run,3, Overall Query Processing Time,81, Query Planning Time,10, Compile Time,0, Execution time,71,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 15,30,31,29, [80-exec-10],           Controller, c59601796873, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld3, Run,3, Overall Query Processing Time,670, Query Planning Time,44, Compile Time,0, Execution time,626,overallNumberOfRequestsIssuedAtCache,1278,numberOfSPARQLRequestsIssuedAtCache,30,numberOfTPFRequestsIssuedAtCache,1180,numberOfBRTPFRequestsIssuedAtCache,68
I, 2023-03-21 15,30,32,187, [080-exec-1],           Controller, df98fe82c48c, , Experiment, het3nodelay-cardgreedy-exp, Date, 2023-03-21 15,26,2, Query, ld4, Run,3, Overall Query Processing Time,135, Query Planning Time,11, Compile Time,0, Execution time,124,overallNumberOfRequestsIssuedAtCache,249,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,249,numberOfBRTPFRequestsIssuedAtCache,0
