I - 2023-03-21 17:25:24,930 - [      main] -   MemoryReportStream - 84d722a229ae - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld6 - Run: 4 - Query Evaluation Time: 73 - Results: 39
I - 2023-03-21 17:25:26,305 - [      main] -   MemoryReportStream - 6a1af747081c - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld7 - Run: 4 - Query Evaluation Time: 375 - Results: 1216
I - 2023-03-21 17:25:27,582 - [      main] -   MemoryReportStream - 3765be70fac9 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld8 - Run: 4 - Query Evaluation Time: 277 - Results: 22
I - 2023-03-21 17:25:28,782 - [      main] -   MemoryReportStream - ee548f41e999 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls1 - Run: 4 - Query Evaluation Time: 200 - Results: 1159
I - 2023-03-21 17:25:29,905 - [      main] -   MemoryReportStream - 17d6b2d4f8ad - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls2 - Run: 4 - Query Evaluation Time: 123 - Results: 333
I - 2023-03-21 17:25:34,178 - [      main] -   MemoryReportStream - 1cf4c6f94f79 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls3 - Run: 4 - Query Evaluation Time: 3272 - Results: 9054
I - 2023-03-21 17:25:35,264 - [      main] -   MemoryReportStream - 19bef25f6b98 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls4 - Run: 4 - Query Evaluation Time: 86 - Results: 3
I - 2023-03-21 17:25:38,039 - [      main] -   MemoryReportStream - c5b1e4968fde - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls5 - Run: 4 - Query Evaluation Time: 1775 - Results: 393
I - 2023-03-21 17:25:39,190 - [      main] -   MemoryReportStream - ac0c462550f9 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls6 - Run: 4 - Query Evaluation Time: 151 - Results: 28
I - 2023-03-21 17:25:40,823 - [      main] -   MemoryReportStream - 6bbb0e76c223 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls7 - Run: 4 - Query Evaluation Time: 633 - Results: 1620
I - 2023-03-21 17:25:41,982 - [      main] -   MemoryReportStream - c398bfb07f97 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd1 - Run: 5 - Query Evaluation Time: 158 - Results: 90
I - 2023-03-21 17:25:43,040 - [      main] -   MemoryReportStream - 918d7486c505 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd2 - Run: 5 - Query Evaluation Time: 57 - Results: 1
I - 2023-03-21 17:25:44,104 - [      main] -   MemoryReportStream - 68b9624478b1 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd3 - Run: 5 - Query Evaluation Time: 63 - Results: 2
I - 2023-03-21 17:25:45,220 - [      main] -   MemoryReportStream - f35e71d1c792 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd4 - Run: 5 - Query Evaluation Time: 115 - Results: 1
I - 2023-03-21 17:25:46,287 - [      main] -   MemoryReportStream - a26ed74750db - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd5 - Run: 5 - Query Evaluation Time: 67 - Results: 2
I - 2023-03-21 17:25:48,518 - [      main] -   MemoryReportStream - db486557c8ef - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd6 - Run: 5 - Query Evaluation Time: 1230 - Results: 11
I - 2023-03-21 17:25:50,114 - [      main] -   MemoryReportStream - d86349d46afe - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd7 - Run: 5 - Query Evaluation Time: 595 - Results: 2
I - 2023-03-21 17:25:51,619 - [      main] -   MemoryReportStream - c7e026f12fd9 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld1 - Run: 5 - Query Evaluation Time: 505 - Results: 309
I - 2023-03-21 17:25:52,726 - [      main] -   MemoryReportStream - 6343e4be6cfe - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld10 - Run: 5 - Query Evaluation Time: 107 - Results: 3
I - 2023-03-21 17:25:54,851 - [      main] -   MemoryReportStream - fa7a4739550a - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld11 - Run: 5 - Query Evaluation Time: 1125 - Results: 376
