I, 2023-03-21 17,24,30,333, [80-exec-10],           Controller, e167da23d5ef, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd2, Run,3, Overall Query Processing Time,43, Query Planning Time,34, Compile Time,0, Execution time,9,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,31,416, [080-exec-1],           Controller, 85cf8b60c4a6, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd3, Run,3, Overall Query Processing Time,66, Query Planning Time,37, Compile Time,0, Execution time,29,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,24,32,516, [080-exec-2],           Controller, 02b6f07d4afe, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd4, Run,3, Overall Query Processing Time,81, Query Planning Time,55, Compile Time,0, Execution time,26,overallNumberOfRequestsIssuedAtCache,37,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 17,24,33,590, [080-exec-3],           Controller, ff8535ff685a, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd5, Run,3, Overall Query Processing Time,55, Query Planning Time,31, Compile Time,0, Execution time,24,overallNumberOfRequestsIssuedAtCache,18,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,24,35,941, [080-exec-4],           Controller, f10431a49aab, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd6, Run,3, Overall Query Processing Time,1335, Query Planning Time,48, Compile Time,1, Execution time,1286,overallNumberOfRequestsIssuedAtCache,2483,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2439,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,24,37,548, [080-exec-5],           Controller, 9c161d1c4f27, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd7, Run,3, Overall Query Processing Time,587, Query Planning Time,50, Compile Time,0, Execution time,537,overallNumberOfRequestsIssuedAtCache,1108,numberOfSPARQLRequestsIssuedAtCache,41,numberOfTPFRequestsIssuedAtCache,1026,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,24,39,87, [080-exec-6],           Controller, d99cd217fbc6, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld1, Run,3, Overall Query Processing Time,517, Query Planning Time,49, Compile Time,0, Execution time,468,overallNumberOfRequestsIssuedAtCache,956,numberOfSPARQLRequestsIssuedAtCache,26,numberOfTPFRequestsIssuedAtCache,873,numberOfBRTPFRequestsIssuedAtCache,57
I, 2023-03-21 17,24,40,198, [080-exec-7],           Controller, 1ca9ea45e916, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld10, Run,3, Overall Query Processing Time,87, Query Planning Time,37, Compile Time,0, Execution time,50,overallNumberOfRequestsIssuedAtCache,126,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,110,numberOfBRTPFRequestsIssuedAtCache,11
I, 2023-03-21 17,24,42,382, [080-exec-8],           Controller, 25efbcc71eff, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld11, Run,3, Overall Query Processing Time,1163, Query Planning Time,65, Compile Time,0, Execution time,1098,overallNumberOfRequestsIssuedAtCache,2420,numberOfSPARQLRequestsIssuedAtCache,78,numberOfTPFRequestsIssuedAtCache,2265,numberOfBRTPFRequestsIssuedAtCache,77
I, 2023-03-21 17,24,43,479, [080-exec-9],           Controller, ab69b4c5e4e6, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld2, Run,3, Overall Query Processing Time,65, Query Planning Time,24, Compile Time,0, Execution time,41,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,45,457, [80-exec-10],           Controller, 89ac2f09b6e0, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld3, Run,3, Overall Query Processing Time,959, Query Planning Time,74, Compile Time,1, Execution time,884,overallNumberOfRequestsIssuedAtCache,1925,numberOfSPARQLRequestsIssuedAtCache,48,numberOfTPFRequestsIssuedAtCache,1788,numberOfBRTPFRequestsIssuedAtCache,89
I, 2023-03-21 17,24,46,777, [080-exec-1],           Controller, ad3dd68814bc, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld4, Run,3, Overall Query Processing Time,293, Query Planning Time,35, Compile Time,0, Execution time,258,overallNumberOfRequestsIssuedAtCache,465,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,465,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,47,867, [080-exec-2],           Controller, fd464899643d, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld5, Run,3, Overall Query Processing Time,75, Query Planning Time,36, Compile Time,0, Execution time,39,overallNumberOfRequestsIssuedAtCache,58,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,56,numberOfBRTPFRequestsIssuedAtCache,0
